symbol,time,open,high,low,close,tick_volume,spread,real_volume
EURUSD,2025.09.11 19:00:00,1.17308,1.17392,1.17301,1.17359,3335,11,0
EURUSD,2025.09.11 20:00:00,1.17360,1.17385,1.17272,1.17311,3391,11,0
EURUSD,2025.09.11 21:00:00,1.17311,1.17378,1.17300,1.17350,2312,11,0
EURUSD,2025.09.11 22:00:00,1.17351,1.17383,1.17332,1.17363,2197,11,0
EURUSD,2025.09.11 23:00:00,1.17362,1.17388,1.17313,1.17328,1654,11,0
EURUSD,2025.09.12 00:00:00,1.17309,1.17333,1.17279,1.17305,413,44,0
EURUSD,2025.09.12 01:00:00,1.17306,1.17401,1.17302,1.17382,785,12,0
EURUSD,2025.09.12 02:00:00,1.17382,1.17394,1.17324,1.17326,1200,11,0
EURUSD,2025.09.12 03:00:00,1.17324,1.17337,1.17266,1.17324,2751,11,0
EURUSD,2025.09.12 04:00:00,1.17324,1.17340,1.17248,1.17250,1780,11,0
EURUSD,2025.09.12 05:00:00,1.17250,1.17286,1.17233,1.17262,1221,11,0
EURUSD,2025.09.12 06:00:00,1.17262,1.17266,1.17222,1.17246,1111,11,0
EURUSD,2025.09.12 07:00:00,1.17245,1.17265,1.17203,1.17250,1207,11,0
EURUSD,2025.09.12 08:00:00,1.17250,1.17329,1.17236,1.17298,1512,11,0
EURUSD,2025.09.12 09:00:00,1.17303,1.17399,1.17215,1.17390,2611,11,0
EURUSD,2025.09.12 10:00:00,1.17390,1.17472,1.17365,1.17401,3303,11,0
EURUSD,2025.09.12 11:00:00,1.17400,1.17405,1.17151,1.17168,3821,11,0
EURUSD,2025.09.12 12:00:00,1.17168,1.17248,1.17121,1.17216,3131,11,0
EURUSD,2025.09.12 13:00:00,1.17216,1.17343,1.17215,1.17334,2380,11,0
EURUSD,2025.09.12 14:00:00,1.17334,1.17349,1.17201,1.17207,2934,11,0
EURUSD,2025.09.12 15:00:00,1.17207,1.17224,1.17008,1.17118,4383,11,0
EURUSD,2025.09.12 16:00:00,1.17118,1.17160,1.17029,1.17125,4657,11,0
EURUSD,2025.09.12 17:00:00,1.17126,1.17277,1.17118,1.17244,6015,11,0
EURUSD,2025.09.12 18:00:00,1.17245,1.17272,1.17128,1.17134,3374,11,0
EURUSD,2025.09.12 19:00:00,1.17134,1.17311,1.17095,1.17264,2146,11,0
EURUSD,2025.09.12 20:00:00,1.17267,1.17373,1.17264,1.17315,1921,11,0
EURUSD,2025.09.12 21:00:00,1.17316,1.17412,1.17315,1.17406,1738,11,0
EURUSD,2025.09.12 22:00:00,1.17406,1.17409,1.17333,1.17359,1739,11,0
EURUSD,2025.09.12 23:00:00,1.17358,1.17360,1.17281,1.17342,1440,11,0
EURUSD,2025.09.15 00:00:00,1.17275,1.17326,1.17260,1.17271,230,40,0
EURUSD,2025.09.15 01:00:00,1.17270,1.17341,1.17268,1.17277,885,12,0
EURUSD,2025.09.15 02:00:00,1.17277,1.17306,1.17245,1.17249,800,11,0
EURUSD,2025.09.15 03:00:00,1.17249,1.17272,1.17213,1.17262,1683,11,0
EURUSD,2025.09.15 04:00:00,1.17262,1.17289,1.17222,1.17270,2250,11,0
EURUSD,2025.09.15 05:00:00,1.17270,1.17287,1.17241,1.17270,1228,11,0
EURUSD,2025.09.15 06:00:00,1.17271,1.17338,1.17266,1.17306,1178,11,0
EURUSD,2025.09.15 07:00:00,1.17306,1.17349,1.17303,1.17335,1002,11,0
EURUSD,2025.09.15 08:00:00,1.17337,1.17338,1.17272,1.17278,967,11,0
EURUSD,2025.09.15 09:00:00,1.17278,1.17293,1.17156,1.17245,2643,11,0
EURUSD,2025.09.15 10:00:00,1.17245,1.17437,1.17236,1.17330,3015,11,0
EURUSD,2025.09.15 11:00:00,1.17331,1.17431,1.17294,1.17366,2794,11,0
EURUSD,2025.09.15 12:00:00,1.17365,1.17511,1.17357,1.17457,2579,11,0
EURUSD,2025.09.15 13:00:00,1.17457,1.17622,1.17456,1.17522,2722,11,0
EURUSD,2025.09.15 14:00:00,1.17523,1.17627,1.17522,1.17604,2780,11,0
EURUSD,2025.09.15 15:00:00,1.17605,1.17704,1.17605,1.17691,3713,11,0
EURUSD,2025.09.15 16:00:00,1.17690,1.17728,1.17571,1.17583,4068,11,0
EURUSD,2025.09.15 17:00:00,1.17584,1.17600,1.17503,1.17573,4416,11,0
EURUSD,2025.09.15 18:00:00,1.17573,1.17717,1.17560,1.17708,2935,11,0
EURUSD,2025.09.15 19:00:00,1.17709,1.17739,1.17556,1.17577,2670,11,0
EURUSD,2025.09.15 20:00:00,1.17576,1.17723,1.17575,1.17705,2074,11,0
EURUSD,2025.09.15 21:00:00,1.17705,1.17717,1.17656,1.17689,1997,11,0
EURUSD,2025.09.15 22:00:00,1.17689,1.17715,1.17638,1.17651,1681,11,0
EURUSD,2025.09.15 23:00:00,1.17651,1.17681,1.17581,1.17601,1335,11,0
EURUSD,2025.09.16 00:00:00,1.17601,1.17639,1.17570,1.17636,504,23,0
EURUSD,2025.09.16 01:00:00,1.17629,1.17647,1.17610,1.17622,884,12,0
EURUSD,2025.09.16 02:00:00,1.17627,1.17655,1.17621,1.17624,476,11,0
EURUSD,2025.09.16 03:00:00,1.17625,1.17656,1.17568,1.17614,2286,11,0
